French,English
partie,part
seulement,only
aide,help
mois,month
mettre,to put
aucun,no
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
main,hand
première,first
côté,side
sois,be
matin,morning
point,point
venu,came
pardon,sorry
venez,come
vers,towards
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
donne,given
fin,end
plutôt,rather
filles,girls
bureau,office
